id,text,question_id,question_tag,label_id,label_tag
1000048228446941184,"@<user> A moral do exército está baixa mesmo, agora tem cuidar de caminhoneiros, daqui a pouco campanha de vacinação depois dengue.... Exército é igual a bombril",22,related,76,not_related
1000115620367753217,Tomei a vacina da gripe agora meu braço tá doendo pra caralho,22,related,75,related
1000115620367753217,Tomei a vacina da gripe agora meu braço tá doendo pra caralho,23,sentiment,80,negative
1000242181859368832,"braço caindo de dor por conta de vacina antitetânica tudo bem, insônia já é demais pra mim jesus vai quebrando toda feitiçaria",22,related,75,related
1000242181859368832,"braço caindo de dor por conta de vacina antitetânica tudo bem, insônia já é demais pra mim jesus vai quebrando toda feitiçaria",23,sentiment,80,negative
1000405370223910912,fui tomar vacina ontem e além do meu braço ter jorrado sangue ainda tá doendo até agora... eu falo que vacina não é de Deus e ninguém acredita..... Deus me defenderay de agulhas,22,related,75,related
1000405370223910912,fui tomar vacina ontem e além do meu braço ter jorrado sangue ainda tá doendo até agora... eu falo que vacina não é de Deus e ninguém acredita..... Deus me defenderay de agulhas,23,sentiment,80,negative
1000682011139297280,Sobe para 70% a cobertura de vacinação contra influenza <url> <url>,22,related,75,related
1000682011139297280,Sobe para 70% a cobertura de vacinação contra influenza <url> <url>,23,sentiment,79,neutral
1001136104123363200,Tomei a vacina da gripe e já to esperando eu ficar arreada de gripe,22,related,75,related
1001136104123363200,Tomei a vacina da gripe e já to esperando eu ficar arreada de gripe,23,sentiment,80,negative
1001197988717514753,"Furei o dedo com um prego enferrujado, espero que eu já tenha tomado vacina anti tétano",22,related,75,related
1001197988717514753,"Furei o dedo com um prego enferrujado, espero que eu já tenha tomado vacina anti tétano",23,sentiment,79,positive
1001250816269971328,"@<user> vem aqui amanhã minha linda, aproveita e vai comigo no postinho pq eu preciso de apoio emocional pra tomar vacina e tirar sangue",22,related,75,related
1001250816269971328,"@<user> vem aqui amanhã minha linda, aproveita e vai comigo no postinho pq eu preciso de apoio emocional pra tomar vacina e tirar sangue",23,sentiment,79,neutral
1001437922212634624,"Disse todo meu medo de vacina pro enfermeiro hoje na clínica, certeza que ele me achou maluca. mas é aquele ditado: vamo fazer o que né",22,related,75,related
1001458373802582016,Tribuna do Sertão - Vacinação contra gripe vai até sexta-feira <url>,22,related,75,related
1001458373802582016,Tribuna do Sertão - Vacinação contra gripe vai até sexta-feira <url>,23,sentiment,78,neutral
1001536796239548416,"@<user> Olá, Felipe! Amanhã tem vacinação contra a gripe no metrô, nas estações Carioca, Maria da Graça, Jardim Oceânico e General Osório, entre 9h e 16h. Avise amigos e familiares que fazem parte do público-alvo: <url> #PrefeituraRio #RioPraVC",22,related,75,related
1001536796239548416,"@<user> Olá, Felipe! Amanhã tem vacinação contra a gripe no metrô, nas estações Carioca, Maria da Graça, Jardim Oceânico e General Osório, entre 9h e 16h. Avise amigos e familiares que fazem parte do público-alvo: <url> #PrefeituraRio #RioPraVC",23,sentiment,78,positive
1001555678903914497,"@<user> Olá, Ju! Amanhã tem vacinação contra a gripe no metrô, nas estações Carioca, Maria da Graça, Jardim Oceânico e General Osório, entre 9h e 16h. Avise amigos e familiares que fazem parte do público-alvo: <url> #PrefeituraRio #RioPraVC",22,related,75,related
1001555678903914497,"@<user> Olá, Ju! Amanhã tem vacinação contra a gripe no metrô, nas estações Carioca, Maria da Graça, Jardim Oceânico e General Osório, entre 9h e 16h. Avise amigos e familiares que fazem parte do público-alvo: <url> #PrefeituraRio #RioPraVC",23,sentiment,78,positive
1001556545870626816,Campanha de vacinação contra gripe termina nesta sexta-feira #jornalvianorte <url>,22,related,75,related
1001556545870626816,Campanha de vacinação contra gripe termina nesta sexta-feira #jornalvianorte <url>,23,sentiment,79,neutral
1001567814950572034,"@<user> Que amor, @<user>! Ficar gripado é pode ser perigoso p/ idosos, grávidas e crianças. Avise familiares e professores que tem vacinação amanhã (30/05), nas estações Carioca, Maria da Graça, Jardim Oceânico e General Osório, 9h às 16h. <url> #PrefeituraRio",22,related,75,related
1001567814950572034,"@<user> Que amor, @<user>! Ficar gripado é pode ser perigoso p/ idosos, grávidas e crianças. Avise familiares e professores que tem vacinação amanhã (30/05), nas estações Carioca, Maria da Graça, Jardim Oceânico e General Osório, 9h às 16h. <url> #PrefeituraRio",23,sentiment,78,positive
1001583654953541632,Meu pai fez para mim pq tomei vacina kkkkjjjjjjkkk <url>,22,related,75,related
1001583654953541632,Meu pai fez para mim pq tomei vacina kkkkjjjjjjkkk <url>,23,sentiment,78,positive
1001653195943313414,"ainda tenho que dar a vacina no cachorro.........um cheque pra cobrir........gente, tchau tô indo me prostituir",22,related,75,related
1001653195943313414,"ainda tenho que dar a vacina no cachorro.........um cheque pra cobrir........gente, tchau tô indo me prostituir",23,sentiment,80,negative
1001660676144742400,Taís Paranhos: Campanha de Vacinação contra febre aftosa é prorrogada em Pernambuco... <url>,22,related,75,related
1001660676144742400,Taís Paranhos: Campanha de Vacinação contra febre aftosa é prorrogada em Pernambuco... <url>,23,sentiment,79,neutral
