"","date","LocationCode","negative","neutral","positive","year","sentiment","Longitude_xmin","tweets"
"1",2013-01-02,"BRG1665",0,1,0,2013,0,-73.98505,1
"2",2013-01-03,"BRG1665",0,2,0,2013,0,-73.98505,2
"3",2013-01-04,"BRG1665",0,3,0,2013,0,-73.98505,3
"4",2013-01-05,"BRG1665",0,2,0,2013,0,-73.98505,2
"5",2013-01-07,"BRG1665",0,1,0,2013,0,-73.98505,1
"6",2013-01-09,"BRG1665",0,2,0,2013,0,-73.98505,2
"7",2013-01-10,"BRG1665",0,1,0,2013,0,-73.98505,1
"8",2013-01-14,"BRG1665",0,1,0,2013,0,-73.98505,1
"9",2013-01-16,"BRG1665",0,3,0,2013,0,-73.98505,3
"10",2013-01-19,"BRG1665",0,2,0,2013,0,-73.98505,2
"11",2013-01-20,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"12",2013-01-21,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"13",2013-01-23,"BRG1665",0,3,0,2013,-0.142857142857143,-73.98505,3
"14",2013-01-24,"BRG1665",1,0,0,2013,-0.142857142857143,-73.98505,1
"15",2013-01-25,"BRG1665",0,2,0,2013,-0.142857142857143,-73.98505,2
"16",2013-01-26,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"17",2013-01-28,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"18",2013-01-29,"BRG1665",0,6,0,2013,0,-73.98505,6
"19",2013-01-30,"BRG1665",0,2,0,2013,0,-73.98505,2
"20",2013-01-31,"BRG1665",0,3,0,2013,0,-73.98505,3
"21",2013-02-01,"BRG1665",0,6,0,2013,0,-73.98505,6
"22",2013-02-06,"BRG1665",0,1,0,2013,0,-73.98505,1
"23",2013-03-26,"BRG1665",0,1,0,2013,-0.0952380952380952,-73.98505,1
"24",2013-04-04,"BRG1665",0,4,0,2013,-0.0952380952380952,-73.98505,4
"25",2013-04-05,"BRG1665",0,2,0,2013,-0.0952380952380952,-73.98505,2
"26",2013-04-06,"BRG1665",4,2,0,2013,-0.0952380952380952,-73.98505,6
"27",2013-04-10,"BRG1665",0,3,0,2013,-0.0952380952380952,-73.98505,3
"28",2013-04-11,"BRG1665",0,1,0,2013,-0.0952380952380952,-73.98505,1
"29",2013-04-12,"BRG1665",0,2,0,2013,-0.0952380952380952,-73.98505,2
"30",2013-04-14,"BRG1665",0,5,0,2013,0,-73.98505,5
"31",2013-04-15,"BRG1665",0,2,0,2013,0,-73.98505,2
"32",2013-04-16,"BRG1665",0,6,0,2013,0,-73.98505,6
"33",2013-04-17,"BRG1665",0,2,0,2013,0.0178571428571429,-73.98505,2
"34",2013-04-18,"BRG1665",0,1,0,2013,0.0178571428571429,-73.98505,1
"35",2013-04-19,"BRG1665",0,5,0,2013,0.0178571428571429,-73.98505,5
"36",2013-04-20,"BRG1665",0,7,1,2013,0,-73.98505,8
"37",2013-04-22,"BRG1665",0,5,0,2013,0,-73.98505,5
"38",2013-04-24,"BRG1665",0,2,0,2013,0,-73.98505,2
"39",2013-04-25,"BRG1665",1,7,0,2013,-0.0142857142857143,-73.98505,8
"40",2013-04-26,"BRG1665",0,4,0,2013,-0.0321428571428571,-73.98505,4
"41",2013-04-28,"BRG1665",0,4,0,2013,-0.0321428571428571,-73.98505,4
"42",2013-04-29,"BRG1665",1,9,0,2013,-0.0321428571428571,-73.98505,10
"43",2013-04-30,"BRG1665",0,1,0,2013,-0.0142857142857143,-73.98505,1
"44",2013-05-01,"BRG1665",0,3,0,2013,-0.0142857142857143,-73.98505,3
"45",2013-05-02,"BRG1665",0,9,0,2013,-0.0428571428571429,-73.98505,9
"46",2013-05-03,"BRG1665",0,2,0,2013,-0.0285714285714286,-73.98505,2
"47",2013-05-05,"BRG1665",0,2,0,2013,-0.0285714285714286,-73.98505,2
"48",2013-05-06,"BRG1665",1,4,0,2013,-0.0285714285714286,-73.98505,5
"49",2013-05-07,"BRG1665",0,2,0,2013,-0.0285714285714286,-73.98505,2
"50",2013-05-08,"BRG1665",0,1,0,2013,-0.171428571428571,-73.98505,1
"51",2013-05-09,"BRG1665",0,3,0,2013,-0.171428571428571,-73.98505,3
"52",2013-05-10,"BRG1665",0,8,0,2013,-0.142857142857143,-73.98505,8
"53",2013-05-12,"BRG1665",1,0,0,2013,-0.142857142857143,-73.98505,1
"54",2013-05-14,"BRG1665",0,5,0,2013,-0.142857142857143,-73.98505,5
"55",2013-05-16,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"56",2013-05-17,"BRG1665",0,6,0,2013,-0.142857142857143,-73.98505,6
"57",2013-05-20,"BRG1665",0,1,0,2013,0,-73.98505,1
"58",2013-05-22,"BRG1665",0,1,0,2013,-0.0714285714285714,-73.98505,1
"59",2013-05-23,"BRG1665",0,4,0,2013,-0.214285714285714,-73.98505,4
"60",2013-05-24,"BRG1665",0,2,0,2013,-0.214285714285714,-73.98505,2
"61",2013-05-25,"BRG1665",1,1,0,2013,-0.214285714285714,-73.98505,2
"62",2013-05-27,"BRG1665",6,0,0,2013,-0.214285714285714,-73.98505,6
"63",2013-05-28,"BRG1665",0,1,0,2013,-0.214285714285714,-73.98505,1
"64",2013-05-29,"BRG1665",0,1,0,2013,-0.261904761904762,-73.98505,1
"65",2013-06-04,"BRG1665",0,7,0,2013,-0.19047619047619,-73.98505,7
"66",2013-06-05,"BRG1665",0,4,0,2013,-0.0476190476190476,-73.98505,4
"67",2013-06-06,"BRG1665",1,2,0,2013,-0.0476190476190476,-73.98505,3
"68",2013-06-07,"BRG1665",0,5,0,2013,-0.0476190476190476,-73.98505,5
"69",2013-06-08,"BRG1665",0,22,0,2013,-0.0476190476190476,-73.98505,22
"70",2013-06-09,"BRG1665",0,2,0,2013,-0.0476190476190476,-73.98505,2
"71",2013-06-10,"BRG1665",0,2,0,2013,0,-73.98505,2
"72",2013-06-11,"BRG1665",0,1,0,2013,0,-73.98505,1
"73",2013-06-12,"BRG1665",0,1,0,2013,-0.0714285714285714,-73.98505,1
"74",2013-06-13,"BRG1665",0,1,0,2013,-0.0714285714285714,-73.98505,1
"75",2013-06-18,"BRG1665",0,1,0,2013,-0.0714285714285714,-73.98505,1
"76",2013-06-19,"BRG1665",1,1,0,2013,-0.0714285714285714,-73.98505,2
"77",2013-06-20,"BRG1665",0,2,0,2013,-0.0714285714285714,-73.98505,2
"78",2013-06-21,"BRG1665",0,1,0,2013,-0.0714285714285714,-73.98505,1
"79",2013-06-24,"BRG1665",0,3,0,2013,-0.142857142857143,-73.98505,3
"80",2013-06-25,"BRG1665",0,4,0,2013,-0.0714285714285714,-73.98505,4
"81",2013-06-26,"BRG1665",0,3,0,2013,-0.0714285714285714,-73.98505,3
"82",2013-06-27,"BRG1665",1,1,0,2013,-0.0714285714285714,-73.98505,2
"83",2013-06-29,"BRG1665",0,1,0,2013,-0.0714285714285714,-73.98505,1
"84",2013-07-01,"BRG1665",0,1,0,2013,-0.0714285714285714,-73.98505,1
"85",2013-07-02,"BRG1665",0,1,0,2013,-0.0714285714285714,-73.98505,1
"86",2013-07-03,"BRG1665",0,3,0,2013,0,-73.98505,3
"87",2013-07-04,"BRG1665",0,2,0,2013,0,-73.98505,2
"88",2013-07-05,"BRG1665",0,1,0,2013,0,-73.98505,1
"89",2013-07-07,"BRG1665",0,1,0,2013,-0.0714285714285714,-73.98505,1
"90",2013-07-12,"BRG1665",0,3,0,2013,-0.119047619047619,-73.98505,3
"91",2013-07-14,"BRG1665",0,1,0,2013,-0.119047619047619,-73.98505,1
"92",2013-07-18,"BRG1665",1,1,0,2013,-0.261904761904762,-73.98505,2
"93",2013-07-19,"BRG1665",1,2,0,2013,-0.261904761904762,-73.98505,3
"94",2013-07-23,"BRG1665",0,2,0,2013,-0.261904761904762,-73.98505,2
"95",2013-07-25,"BRG1665",1,0,0,2013,-0.333333333333333,-73.98505,1
"96",2013-07-29,"BRG1665",0,2,0,2013,-0.261904761904762,-73.98505,2
"97",2013-08-02,"BRG1665",0,3,0,2013,-0.285714285714286,-73.98505,3
"98",2013-08-07,"BRG1665",1,1,0,2013,-0.285714285714286,-73.98505,2
"99",2013-08-08,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"100",2013-08-09,"BRG1665",1,1,0,2013,-0.142857142857143,-73.98505,2
"101",2013-08-13,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"102",2013-08-16,"BRG1665",0,2,0,2013,-0.0714285714285714,-73.98505,2
"103",2013-08-17,"BRG1665",0,3,0,2013,-0.0714285714285714,-73.98505,3
"104",2013-08-18,"BRG1665",0,1,0,2013,0,-73.98505,1
"105",2013-08-19,"BRG1665",0,2,0,2013,0,-73.98505,2
"106",2013-08-20,"BRG1665",0,4,0,2013,0,-73.98505,4
"107",2013-08-24,"BRG1665",0,10,0,2013,0,-73.98505,10
"108",2013-08-25,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"109",2013-08-26,"BRG1665",0,2,0,2013,-0.142857142857143,-73.98505,2
"110",2013-08-28,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"111",2013-08-29,"BRG1665",1,0,0,2013,-0.142857142857143,-73.98505,1
"112",2013-08-30,"BRG1665",0,4,0,2013,-0.142857142857143,-73.98505,4
"113",2013-09-03,"BRG1665",0,4,0,2013,-0.142857142857143,-73.98505,4
"114",2013-09-04,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"115",2013-09-08,"BRG1665",0,1,0,2013,0,-73.98505,1
"116",2013-09-09,"BRG1665",0,5,0,2013,-0.142857142857143,-73.98505,5
"117",2013-09-10,"BRG1665",0,3,0,2013,-0.142857142857143,-73.98505,3
"118",2013-09-11,"BRG1665",0,2,0,2013,-0.142857142857143,-73.98505,2
"119",2013-09-12,"BRG1665",1,0,0,2013,-0.142857142857143,-73.98505,1
"120",2013-09-13,"BRG1665",0,1,0,2013,-0.285714285714286,-73.98505,1
"121",2013-09-16,"BRG1665",0,1,0,2013,-0.285714285714286,-73.98505,1
"122",2013-09-18,"BRG1665",0,2,0,2013,-0.333333333333333,-73.98505,2
"123",2013-09-19,"BRG1665",1,0,0,2013,-0.19047619047619,-73.98505,1
"124",2013-09-20,"BRG1665",0,2,0,2013,-0.19047619047619,-73.98505,2
"125",2013-09-22,"BRG1665",1,2,0,2013,-0.19047619047619,-73.98505,3
"126",2013-09-23,"BRG1665",0,1,0,2013,-0.19047619047619,-73.98505,1
"127",2013-09-26,"BRG1665",0,2,0,2013,-0.0476190476190476,-73.98505,2
"128",2013-09-27,"BRG1665",0,2,0,2013,-0.0476190476190476,-73.98505,2
"129",2013-10-02,"BRG1665",0,1,0,2013,0,-73.98505,1
"130",2013-10-04,"BRG1665",0,2,0,2013,0,-73.98505,2
"131",2013-10-08,"BRG1665",0,2,0,2013,0,-73.98505,2
"132",2013-10-10,"BRG1665",0,1,0,2013,0,-73.98505,1
"133",2013-10-17,"BRG1665",0,1,0,2013,0,-73.98505,1
"134",2013-10-20,"BRG1665",0,1,0,2013,0,-73.98505,1
"135",2013-10-21,"BRG1665",0,1,0,2013,0,-73.98505,1
"136",2013-10-22,"BRG1665",0,1,0,2013,0,-73.98505,1
"137",2013-10-25,"BRG1665",0,1,0,2013,0,-73.98505,1
"138",2013-11-02,"BRG1665",0,4,0,2013,-0.0714285714285714,-73.98505,4
"139",2013-11-05,"BRG1665",0,1,0,2013,-0.214285714285714,-73.98505,1
"140",2013-11-07,"BRG1665",0,2,0,2013,-0.214285714285714,-73.98505,2
"141",2013-11-08,"BRG1665",1,1,0,2013,-0.25,-73.98505,2
"142",2013-11-12,"BRG1665",1,0,0,2013,-0.25,-73.98505,1
"143",2013-11-19,"BRG1665",0,2,0,2013,-0.25,-73.98505,2
"144",2013-11-22,"BRG1665",1,3,0,2013,-0.25,-73.98505,4
"145",2013-11-25,"BRG1665",0,2,0,2013,-0.178571428571429,-73.98505,2
"146",2013-11-26,"BRG1665",0,1,0,2013,-0.178571428571429,-73.98505,1
"147",2013-11-28,"BRG1665",0,2,0,2013,-0.178571428571429,-73.98505,2
"148",2013-11-30,"BRG1665",0,1,0,2013,-0.142857142857143,-73.98505,1
"149",2013-12-01,"BRG1665",1,0,0,2013,-0.285714285714286,-73.98505,1
"150",2013-12-05,"BRG1665",0,1,0,2013,-0.428571428571429,-73.98505,1
"151",2013-12-06,"BRG1665",0,1,0,2013,-0.571428571428571,-73.98505,1
