"","LocationCode","year","negative","neutral","positive","sentiment","tweets"
"1","BRG1665",2015,41,408,0,-0.0913140311804009,449
"2","BRG1666",2015,49,1693,0,-0.0281285878300804,1742
"3","BRG1667",2015,35,923,2,-0.034375,960
"4","BRG1668",2015,169,2199,16,-0.0641778523489933,2384
"5","BRG1669",2015,269,6415,25,-0.0363690564912804,6709
"6","BRG1670",2015,206,4139,20,-0.0426116838487973,4365
"7","BRG1671",2015,221,2423,37,-0.0686311077955987,2681
"8","BRG1672",2015,197,2159,13,-0.0776699029126214,2369
"9","BRG1673",2015,164,3384,12,-0.0426966292134831,3560
"10","BRG1674",2015,188,3487,22,-0.0449012713010549,3697
"11","BRG1675",2015,34,691,4,-0.0411522633744856,729
"12","BRG1676",2015,224,1954,5,-0.100320659642694,2183
"13","BRG1677",2015,3008,26019,188,-0.096525757316447,29215
"14","BRG1678",2015,34,431,2,-0.0685224839400428,467
"15","BRG1679",2015,271,5733,17,-0.0421856834412888,6021
"16","BRG1680",2015,522,4266,42,-0.0993788819875776,4830
"17","BRG1681",2015,80,2731,15,-0.0230007077140835,2826
"18","BRG1682",2015,3,127,1,-0.0152671755725191,131
"19","BRG1683",2015,68,223,1,-0.229452054794521,292
"20","BRG1685",2015,1865,8836,96,-0.163841807909605,10797
"21","BRG1686",2015,7,227,0,-0.0299145299145299,234
"22","BRG1687",2015,25,579,4,-0.0345394736842105,608
"23","BRG1688",2015,371,1930,24,-0.149247311827957,2325
"24","BRG1689",2015,1998,16083,141,-0.101909779387554,18222
"25","BRG1690",2015,22,1010,5,-0.0163934426229508,1037
"26","BRG1691",2015,5,337,0,-0.0146198830409357,342
