"Date","BRG1665","BRG1666","BRG1667","BRG1668","BRG1669","BRG1670","BRG1671","BRG1672","BRG1673","BRG1674","BRG1675","BRG1676","BRG1677","BRG1678","BRG1679","BRG1680","BRG1681","BRG1682","BRG1683","BRG1684","BRG1685","BRG1686","BRG1687","BRG1688","BRG1689","BRG1690","BRG1691","Total","year","year_month"
2013-01-01,313.73,246.14,301.36,292.99,176.35,223.46,245.94,212.98,216.19,256.99,176.86,253.74,198.41,240.51,226.06,229.59,197.48,223.64,185.12,192.5,163.84,297.36,358.76,208.43,201.88,226.54,265.26,418.8,2013,"2013-01"
2013-01-02,308.32,244.6,294.97,288.02,175.39,221.84,240.54,210.47,213.24,254.87,174.55,250.61,197.06,237.41,224.37,227.84,196.01,222.9,184.08,190.55,163.21,293.9,352.36,205.56,200.18,224.1,261.94,415.22,2013,"2013-01"
2013-01-03,303.17,243.2,288.91,283.29,174.49,220.31,235.38,208.07,210.42,252.9,172.35,247.62,195.79,234.47,222.77,226.18,194.59,222.25,183.09,188.69,162.62,290.63,346.28,202.78,198.55,221.76,258.79,411.8,2013,"2013-01"
2013-01-04,298.28,241.89,283.14,278.81,173.66,218.85,230.45,205.78,207.74,251.09,170.26,244.74,194.59,231.7,221.26,224.58,193.24,221.69,182.15,186.91,162.06,287.53,340.51,200.1,196.98,219.53,255.79,408.54,2013,"2013-01"
2013-01-05,293.63,240.68,277.67,274.56,172.9,217.47,225.73,203.59,205.2,249.43,168.27,241.97,193.47,229.1,219.82,223.03,191.96,221.2,181.24,185.2,161.54,284.58,335.03,197.51,195.47,217.38,252.94,405.43,2013,"2013-01"
2013-01-06,280.24,244.52,267.03,273.41,179.1,216.15,230.64,205.85,200.98,248.2,163.51,238.9,194.19,225.15,221.42,222.48,191.5,218.13,176.59,186.69,161.44,292.39,303.69,195.44,193.57,218.32,252.12,403.81,2013,"2013-01"
2013-01-07,276.21,243.46,261.9,269.19,178.38,214.81,227.54,203.48,198.19,246.79,161.52,236.24,193.02,222.81,220.23,220.82,190.28,217.55,175.51,185.21,160.77,289.16,289.06,193,191.97,216.38,249.29,400.64,2013,"2013-01"
2013-01-08,313.73,246.14,301.36,292.99,176.35,223.46,245.94,212.98,216.19,256.99,176.86,253.74,198.41,240.51,226.06,229.59,197.48,223.64,185.12,192.5,163.84,297.36,358.76,208.43,201.88,226.54,265.26,418.8,2013,"2013-01"
2013-01-09,308.32,244.6,294.97,288.02,175.39,221.84,240.54,210.47,213.24,254.87,174.55,250.61,197.06,237.41,224.37,227.84,196.01,222.9,184.08,190.55,163.21,293.9,352.36,205.56,200.18,224.1,261.94,415.22,2013,"2013-01"
2013-01-10,303.17,243.2,288.91,283.29,174.49,220.31,235.38,208.07,210.42,252.9,172.35,247.62,195.79,234.47,222.77,226.18,194.59,222.25,183.09,188.69,162.62,290.63,346.28,202.78,198.55,221.76,258.79,411.8,2013,"2013-01"
