LocationName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Acre,537,89,40,0,4,8,4,12,9,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alagoas,1679,525,131,22,3,24,19,30,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,11,0,0,0
Amapa,80,1366,22,17,11,9,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,296,534,30,0,0
Amazonas,1878,800,217,104,146,43,28,60,110,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8789,4,7,0,0,0,0
Bahia,1384,3532,1303,56,96,36,362,2557,100,14,0,0,0,0,0,0,57,0,0,0,0,1,0,0,0,0,0,0,3,80,7,0,0,0,0
Ceara,2771,4704,393,134,87,37,125,864,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,840,211,0,0,0,19,7,3,0,0,0
Distrito Federal,4372,271,64,76,10,3,75,878,131,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,11,8,0,0,0,0
Espirito Santo,8664,1422,228,31,32,33,6,35,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
Goias,8229,292,83,77,21,11,101,526,69,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0
Maranhao,258,281,26,13,11,2,9,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0
Mato Grosso,776,2765,177,14,14,6,21,54,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mato Grosso Do Sul,121,1142,442,64,68,17,11,155,46,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,0,0,0,0
Minas Gerais,81,5354,1828,325,97,60,74,794,43,9,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,158,22,0,0,0,1
Para,1205,1672,109,20,42,22,25,52,21,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,84,429,4844,111,1,0,0
Paraiba,1735,764,369,32,8,33,59,342,49,35,0,0,0,0,0,0,0,0,0,0,57,0,0,9,0,0,0,0,0,66,0,0,0,0,0
Parana,1846,3144,273,101,9,33,73,546,909,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599,377,0,0,0,0
Pernambuco,194,290,165,15,13,10,23,335,345,240,0,0,0,0,0,0,0,0,0,0,0,0,1,200,26,0,0,0,4,344,38,0,0,0,0
Piaui,1282,156,54,4,8,7,8,161,19,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
Rio De Janeiro,4577,3777,463,307,136,126,438,2616,305,177,1,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,20,463,1358,3,2,0,0
Rio Grande Do Norte,1378,617,205,42,26,13,25,112,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Rio Grande Do Sul,3901,6519,757,449,193,190,158,733,76,13,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,47,100,37,0,0,0,1
Rondonia,165,211,48,71,35,23,7,17,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0
Roraima,27,94,27,20,23,12,4,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,368,1,0,0,0,0,0
Santa Catarina,852,1477,28,8,25,30,39,491,61,25,1,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,297,107,0,0,0,0
Sao Paulo,861,340,116,339,89,127,1565,42058,268,169,14,1,1,0,0,2,0,0,0,0,0,27,1,5,7,2,0,0,7,18049,879,8,8,0,0
Sergipe,773,495,112,48,51,33,34,98,51,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,0,0,0,0
Tocantins,1504,433,17,7,4,24,23,58,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
