year_month,stance,summary
2013_01,negative,"The texts discuss various vaccine-related issues, including concerns about the safety and side effects of certain vaccines, such as the H1N1 vaccine potentially causing narcolepsy in children. There's also mention of a controversial ""frog vaccine"" under investigation by federal authorities, and reports of vaccine-induced severe reactions, including an incurable sleeping disease affecting hundreds of youths. Additionally, there are personal anecdotes expressing fear and pain associated with vaccinations, particularly for the HPV and Tetanus vaccines, highlighting a societal aversion and anxiety towards vaccine administration."
2013_01,neutral,"The provided texts cover various topics related to vaccinations, including the beginning of vaccination campaigns against diseases like foot-and-mouth disease in cattle and yellow fever, the testing of new vaccines for HIV and Alzheimer’s, and the promotion of HPV vaccines for girls aged 11 to 13. There are also mentions of personal experiences with vaccinations, including anxiety about getting vaccinated, and humorous takes on the subject."
2013_01,positive,"Spanish scientists have developed a vaccine that temporarily controls HIV and another that uses the virus from infected patients. Vaccination against HPV is now recommended for both genders to prevent anal cancer, while a therapeutic vaccine for Alzheimer's is also being researched. Additionally, a vaccine for addiction to cocaine is expected to be available in three years."
2013_02,negative,"The text discusses various experiences and opinions regarding vaccinations, highlighting fears, reactions, and frustrations associated with getting vaccinated. It mentions a false nurse kidnapping a newborn under the pretext of vaccination and includes personal anecdotes about pain, side effects, and the anxiety surrounding vaccine appointments."
2013_02,neutral,"SESI plans to vaccinate over 900,000 workers against the flu. Additionally, a vaccination campaign in Alagoas has successfully immunized 96.13% of livestock against foot-and-mouth disease. In France, a new HIV vaccine is being tested on humans. Studies show that flu vaccine responses vary by age."
2013_02,positive,"The text discusses various vaccination initiatives and developments. SESI plans to vaccinate over 900,000 workers against the flu. A new HIV vaccine is being tested on humans in France, alongside Cuba's recently developed lung cancer vaccine. Additionally, a free HPV vaccine has been approved for women aged 9 to 45."
2013_03,negative,"The text expresses frustration and concerns about vaccines in the 21st century, including the lack of a vaccine for acne, pain and side effects from vaccinations, and past controversies regarding vaccines. It highlights mixed feelings toward vaccines, with some people fearing injections while others share experiences of discomfort or adverse reactions after receiving them."
2013_03,neutral,"The campaign aims to vaccinate 31.3 million people against the flu in Brazil from April 15 to 26. Priority groups include chronic patients, postpartum women, the elderly, and children. Various states, including MS and AM, set specific vaccination targets, with the Ministry of Health coordinating nationwide efforts."
2013_03,positive,"The text discusses various vaccination campaigns in Brazil, particularly targeting the flu, which aims to immunize over 31 million people in April. It also highlights the development of new vaccines, including those for foot-and-mouth disease and synthetic vaccines. Additionally, there are mentions of HPV vaccination and progress toward eradicating polio."
2013_04,negative,"The texts express a mix of humor, fear, and frustration surrounding vaccinations, particularly the flu vaccine and the controversial ""frog vaccine."" Many share experiences of pain from the shots, express reluctance to get vaccinated, and criticize the disparity in access to vaccines, especially for prisoners compared to the general public. There are also mentions of adverse reactions, anxieties about needles, and the perception of vaccines as ineffective or harmful. Overall, the sentiment conveys a societal struggle with vaccination practices and personal discomfort related to them."
2013_04,neutral,"The texts discuss the initiation and ongoing campaigns for vaccination against HPV among girls aged 11 to 13 in schools in the Federal District, Brazil. Additionally, there are mentions of vaccination campaigns against influenza (the flu) across various states, including plans to immunize large populations and specific groups like pregnant women and children. The campaigns aim to protect public health by increasing vaccination rates and addressing vaccine accessibility."
2013_04,positive,"Recent news highlights significant advancements in vaccine research, particularly against AIDS, where scientists are making promising strides. Additionally, there are ongoing vaccination campaigns across Brazil for various diseases, including rabies and influenza, with specific emphasis on protecting vulnerable groups such as the elderly, children, and pregnant women. The HPV vaccine is also being integrated into national health initiatives. These efforts reflect a broader commitment to public health and disease prevention through vaccination."
2013_05,negative,"The sentences express a widespread dislike and fear associated with vaccinations, particularly against the flu and for various childhood immunizations. Many individuals report experiencing pain, discomfort, and adverse reactions after getting vaccinated, such as feeling sick or developing symptoms of illness. There are humorous and sarcastic remarks about the efficacy of vaccines, with some people feeling frustrated that they still get sick despite being vaccinated. The mention of reactions to vaccines, such as fever or soreness, and the reluctance to receive them highlights a common sentiment of apprehension and distrust towards vaccination processes."
2013_05,neutral,"The sentences discuss various vaccination campaigns in Brazil, particularly focusing on the vaccination against foot-and-mouth disease (aftosa), HPV, and influenza (gripe). They mention adjustments to schedules due to drought, goals to vaccinate animals, and efforts to reach populations such as pregnant women and children. There are also mentions of challenges in meeting vaccination targets and the importance of public health initiatives."
2013_05,positive,"The passages discuss various vaccination campaigns in Brazil, focusing on the importance of vaccinations against diseases like influenza, HPV, and rabies. They highlight the progress in immunization rates, the promotion of free vaccines for specific groups, and the development of new vaccines, including those targeting heroin addiction and malaria."
2013_06,negative,"The text primarily discusses the controversial topic of a ""gay cure vaccine,"" often portrayed humorously or sarcastically. Many comments express disdain or skepticism about the concept, with repeated statements about only accepting the vaccine if it involves a large needle. There are also complaints about real vaccines, like those for flu and other diseases, highlighting physical discomfort and frustrations with public health services. Overall, it reflects a mix of humor, sarcasm, and genuine concern regarding health and vaccination practices."
2013_06,neutral,"The text discusses various vaccination campaigns in Brazil, particularly focusing on the vaccination against poliomyelitis (polio) and the need for children aged 6 months to 5 years to receive these vaccinations. It mentions specific dates for campaigns, the number of children targeted, and the importance of vaccinations, while also referencing personal experiences and societal attitudes towards vaccines."
2013_06,positive,"The text discusses the launch of a national vaccination campaign in Brazil against poliomyelitis (also known as polio or infantile paralysis), which begins on a specific Saturday and aims to vaccinate millions of children aged 6 months to under 5 years. Various municipalities have set goals for vaccination coverage, and there are reminders for parents to participate by taking their children to vaccination posts. Additionally, mentions of a new vaccine for lung cancer developed by Argentina and Cuba are included, highlighting advancements in medical science."
2013_07,negative,"The sentences discuss various opinions and experiences regarding vaccinations, particularly focusing on pain and discomfort associated with them. Many express frustration about vaccines, stating they are painful and sometimes ineffective, like the flu vaccine. There's also humor relating to the absurdity of certain vaccines, such as the HPV vaccine for young girls, and societal attitudes towards vaccinations. Overall, there's a prevalent theme of reluctance and anxiety surrounding the vaccination process."
2013_07,neutral,"The text discusses various aspects of vaccination in Brazil, focusing on the incorporation of the HPV vaccine into the public health system (SUS) for girls aged 10 and 11 starting in 2014. It mentions ongoing vaccination campaigns against diseases like polio and rabies, public health initiatives, and personal anecdotes about vaccinations. There are also humorous remarks about the need for a vaccine against issues like ""jealousy"" and ""acne."" The overall theme highlights the importance of vaccinations for both humans and animals while addressing public health challenges and awareness."
2013_07,positive,"Starting in 2014, the Brazilian public health system (SUS) will offer free HPV vaccinations to girls aged 10 and 11. This initiative aims to immunize over 17,000 girls in Acre and more than 81,000 in Amazonas. The vaccine protects against cervical cancer and related diseases. Additionally, the age limit for hepatitis B vaccination has been raised to 49 years."
2013_08,negative,"The text discusses various opinions and experiences regarding vaccinations in Brazil, including pain and discomfort associated with certain vaccines, especially the HPV and tetanus vaccines. Many express frustration with the healthcare system's inefficiencies, lack of available vaccines, and the feeling of being forced to vaccinate. There's also mention of new vaccines being developed or tested, including one against cancer and another for HIV, alongside criticism of government policies related to vaccination campaigns. Overall, the sentiment reflects a mix of fear, skepticism, and dissatisfaction with vaccination processes."
2013_08,neutral,"The provided sentences discuss various vaccination campaigns in Brazil, including those aimed at both humans (children, adults) and animals (pet vaccination). Key themes include updates to vaccination records, the introduction of new vaccines (like those against dengue and Aids), and reminders about vaccination schedules, especially for children under five. There are also humorous references to personal experiences with vaccines and discussions about the need for vaccines against various ailments. Overall, the content emphasizes public health initiatives and the importance of staying up-to-date with vaccinations."
2013_08,positive,"The sentences discuss various vaccination campaigns in Brazil, including updates for children's vaccination records, new vaccines being tested (such as for dengue and AIDS), and community efforts to promote vaccination. Specific campaigns target young children for routine immunizations and include initiatives for animal vaccinations. The importance of vaccines in preventing diseases is emphasized, alongside recent advancements in vaccine development."
2013_09,negative,"The text reflects a mix of frustrations and humorous sentiments regarding vaccinations. Many express discomfort, pain, or fear associated with getting vaccinated, often highlighting the negative side effects like soreness and illness post-vaccination. There are also references to the necessity of vaccinations for pets, with some lamenting the challenges of taking animals to receive their shots. Additionally, some comments criticize the healthcare system's conditions and raise concerns about misinformation surrounding vaccines. Overall, the sentiment is a blend of annoyance, fear, and sarcasm towards the vaccination process and its implications."
2013_09,neutral,The Brazilian public healthcare system (SUS) is now offering the varicella (chickenpox) vaccine for children starting at 15 months old. The vaccine will be administered in two doses: the first at one year of age and the second at four years. The campaign aims to increase vaccination coverage and protect children from this disease.
2013_09,positive,"The text discusses the recent introduction of a varicella (chickenpox) vaccine into Brazil's public healthcare system (SUS), available for children aged 15 months. This vaccine is part of the national vaccination schedule, which aims to enhance public health by preventing chickenpox along with other diseases."
2013_10,negative,"The text consists of various comments and reactions regarding vaccinations, expressing a mix of fear, annoyance, and discomfort associated with the process. Many participants share their experiences of pain from recent vaccinations, express reluctance to receive vaccines, and criticize mandatory vaccination policies. There are also humorous and sarcastic remarks about the need for vaccines for both humans and pets. Themes of skepticism about vaccine efficacy and side effects, along with social commentary on vaccination policies, are prevalent throughout the messages."
2013_10,neutral,"The text discusses various aspects of vaccination, including personal reflections on vaccination experiences, public health campaigns, and the lack of vaccines for certain conditions. It mentions the need for vaccinations against diseases like rabies, dengue, and HPV, and highlights the absurdity of not having a vaccine for acne despite advancements in medicine. Additionally, it touches on societal attitudes towards vaccinations and the necessity of testing them on animals."
2013_10,positive,"The text discusses various aspects of vaccination in Brazil, highlighting initiatives such as the National Vaccination Day, the introduction of new vaccines, particularly against HPV, dengue, and prostate cancer, as well as the importance of maintaining vaccination schedules for both children and adults. It emphasizes the role of vaccines in disease prevention and public health."
2013_11,negative,"The text discusses various aspects of vaccination, including public sentiments about vaccine pain and fear, financial concerns for producers regarding the cost of vaccines, and controversies surrounding vaccines, such as alleged adverse effects from the HPV vaccine. Additionally, there are mentions of testing new vaccines on animals and the public's reaction to vaccination campaigns."
2013_11,neutral,"The text discusses various vaccination campaigns, including the second phase of vaccination against foot-and-mouth disease for livestock, the testing of a Brazilian HIV vaccine on monkeys, and rabies vaccination for pets. It highlights the importance of vaccinations for public health and livestock management, while also portraying humorous personal anecdotes about vaccination experiences."
2013_11,positive,"The text discusses various advancements and campaigns related to vaccines, including research on a vaccine for HIV, free vaccinations for hepatitis B, and initiatives to vaccinate children against polio. It highlights the importance of vaccination in preventing diseases, the development of new vaccines, and ongoing public health efforts in Brazil and globally."
2013_12,negative,"The text discusses the high costs of vaccines, particularly highlighting the lack of access and availability in Brazil. It mentions issues related to the effectiveness and side effects of vaccines, including pain and discomfort following administration. There are also references to tragic outcomes in China linked to vaccinations, as well as societal attitudes and controversies surrounding vaccines."
2013_12,neutral,"The text discusses various aspects of vaccination, highlighting personal experiences, fears, and societal comments regarding various vaccines, including those for rabies, dengue, and routine childhood vaccinations. It includes mentions of campaigns for animal vaccination and the importance of vaccines in public health, along with humorous remarks about wanting vaccines for emotional issues like disappointment and jealousy."
2013_12,positive,"The sentences discuss various topics related to vaccination, including the introduction of new vaccines, the importance of vaccination campaigns, and the benefits of vaccines against diseases such as cancer, HPV, and rabies. They emphasize the need for vaccinations in both humans and animals, and highlight recent advancements in vaccine development. Additionally, the phrases imply a metaphorical use of ""vaccination"" against negativity or envy in social contexts."
2014_01,negative,"The sentences express various opinions and experiences regarding vaccinations, particularly the HPV vaccine and other childhood immunizations. Many individuals express fear, pain, and reluctance associated with getting vaccinated, while some criticize the government's vaccination campaigns as politically motivated. There are also mentions of adverse reactions to vaccines and concerns about their necessity and safety, particularly regarding HPV vaccinations for young girls. The overall sentiment reflects a mix of skepticism, fear, and frustration surrounding the topic of vaccinations."
