LocationCode,year,negative,neutral,positive,sentiment,tweets
BRG1665,2013,44,211,119,0.20053475935828877,374
BRG1665,2014,57,178,123,0.18435754189944134,358
BRG1665,2015,56,203,122,0.1732283464566929,381
BRG1665,2016,57,193,101,0.12535612535612536,351
BRG1665,2017,94,276,153,0.11281070745697896,523
BRG1665,2018,315,647,345,0.022953328232593728,1307
BRG1665,2019,1081,1158,797,-0.09354413702239789,3036
BRG1666,2013,88,574,468,0.336283185840708,1130
BRG1666,2014,146,762,583,0.2930918846411804,1491
BRG1666,2015,78,891,535,0.3038563829787234,1504
BRG1666,2016,121,720,425,0.2401263823064771,1266
BRG1666,2017,135,770,373,0.18622848200312989,1278
BRG1666,2018,404,1051,676,0.12763960581886438,2131
BRG1666,2019,1212,1537,1216,0.001008827238335435,3965
BRG1667,2013,51,296,241,0.3231292517006803,588
BRG1667,2014,112,381,293,0.23027989821882952,786
BRG1667,2015,81,418,311,0.2839506172839506,810
BRG1667,2016,102,471,230,0.15940224159402241,803
BRG1667,2017,76,358,257,0.2619392185238784,691
BRG1667,2018,145,447,346,0.21428571428571427,938
BRG1667,2019,518,700,546,0.015873015873015872,1764
BRG1668,2013,285,871,657,0.20518477661334805,1813
BRG1668,2014,282,941,627,0.1864864864864865,1850
BRG1668,2015,250,1005,638,0.20496566296883253,1893
BRG1668,2016,265,1137,699,0.20656830080913852,2101
BRG1668,2017,389,1235,751,0.15242105263157896,2375
BRG1668,2018,1240,2768,1851,0.10428400750981397,5859
BRG1668,2019,4027,5093,4056,0.0022009714632665453,13176
BRG1669,2013,608,2376,1590,0.21469173589855706,4574
BRG1669,2014,998,3037,1969,0.1617255163224517,6004
BRG1669,2015,516,3064,1855,0.24636614535418583,5435
BRG1669,2016,957,3716,2077,0.16592592592592592,6750
BRG1669,2017,1200,3901,1965,0.10826493065383527,7066
BRG1669,2018,2812,5927,3363,0.045529664518261445,12102
BRG1669,2019,7044,7954,6447,-0.027838657029610633,21445
BRG1670,2013,305,1456,1066,0.26918995401485674,2827
BRG1670,2014,519,1927,1245,0.19669466269303712,3691
BRG1670,2015,324,1897,1234,0.2633863965267728,3455
BRG1670,2016,332,1987,1101,0.22485380116959064,3420
BRG1670,2017,371,1663,1048,0.21966255678131083,3082
BRG1670,2018,1217,2230,1495,0.05625252934034804,4942
BRG1670,2019,3327,3751,3006,-0.03183260610868703,10084
BRG1671,2013,267,890,1106,0.37074679628811313,2263
BRG1671,2014,409,1133,1150,0.27526002971768204,2692
BRG1671,2015,333,890,974,0.29176149294492487,2197
BRG1671,2016,654,1794,1169,0.14238319048935583,3617
BRG1671,2017,945,2384,1497,0.11438043928719437,4826
BRG1671,2018,2512,4355,2947,0.04432443448135317,9814
BRG1671,2019,7573,8093,6223,-0.06167481383343232,21889
BRG1672,2013,238,773,437,0.13743093922651933,1448
BRG1672,2014,343,896,488,0.08396062536189924,1727
BRG1672,2015,291,1052,484,0.1056376573617953,1827
BRG1672,2016,620,1693,650,0.010124873439082012,2963
BRG1672,2017,2238,5384,1694,-0.058394160583941604,9316
BRG1672,2018,1629,3238,1410,-0.03488927831766767,6277
BRG1672,2019,5148,6338,3412,-0.1165257081487448,14898
BRG1673,2013,284,1040,742,0.22168441432720232,2066
BRG1673,2014,443,1809,1135,0.20431059935045764,3387
BRG1673,2015,288,1588,968,0.2390998593530239,2844
BRG1673,2016,627,3397,1180,0.10626441199077633,5204
BRG1673,2017,718,2963,1143,0.0881011608623549,4824
BRG1673,2018,2071,3658,2121,0.006369426751592357,7850
BRG1673,2019,5486,5764,4237,-0.08064828565893975,15487
BRG1674,2013,404,1359,1031,0.22440944881889763,2794
BRG1674,2014,443,1464,979,0.18572418572418573,2886
BRG1674,2015,294,1661,1140,0.27334410339256865,3095
BRG1674,2016,431,1725,1043,0.19130978430759613,3199
BRG1674,2017,784,2157,1700,0.1973712561947856,4641
BRG1674,2018,2159,3369,2482,0.04032459425717853,8010
BRG1674,2019,6234,7378,6380,0.007302921168467387,19992
BRG1675,2013,61,210,163,0.2350230414746544,434
BRG1675,2014,89,223,143,0.11868131868131868,455
BRG1675,2015,61,332,187,0.21724137931034482,580
BRG1675,2016,93,286,121,0.056,500
BRG1675,2017,111,364,182,0.1080669710806697,657
BRG1675,2018,459,772,476,0.00995899238429994,1707
BRG1675,2019,1382,1539,1136,-0.0606359378851368,4057
BRG1676,2013,285,1005,586,0.16044776119402984,1876
BRG1676,2014,314,1119,672,0.1700712589073634,2105
BRG1676,2015,249,970,489,0.1405152224824356,1708
BRG1676,2016,503,1213,638,0.05734919286321156,2354
BRG1676,2017,613,1438,689,0.027737226277372264,2740
BRG1676,2018,1180,2320,1185,0.0010672358591248667,4685
BRG1676,2019,3661,3999,2728,-0.08981517135155949,10388
BRG1677,2013,3385,9298,6538,0.16403933198064616,19221
BRG1677,2014,4609,10536,6457,0.08554763447828904,21602
BRG1677,2015,3244,12243,6913,0.16379464285714285,22400
BRG1677,2016,6130,19659,9470,0.0947275872826796,35259
BRG1677,2017,12261,29038,11996,-0.0049723238577727745,53295
BRG1677,2018,27171,71560,26641,-0.0042274192004594325,125372
BRG1677,2019,53482,86220,43684,-0.05342828787366538,183386
BRG1678,2013,69,154,88,0.06109324758842444,311
BRG1678,2014,58,176,118,0.17045454545454544,352
BRG1678,2015,48,175,147,0.26756756756756755,370
BRG1678,2016,53,171,112,0.17559523809523808,336
BRG1678,2017,86,230,133,0.10467706013363029,449
BRG1678,2018,199,400,249,0.0589622641509434,848
BRG1678,2019,581,674,542,-0.021702838063439065,1797
BRG1679,2013,488,2238,1884,0.30281995661605204,4610
BRG1679,2014,707,2446,1801,0.2208316511909568,4954
BRG1679,2015,397,2907,1674,0.25652872639614305,4978
BRG1679,2016,686,2610,1807,0.21967470115618265,5103
BRG1679,2017,783,2356,1491,0.15291576673866092,4630
BRG1679,2018,2280,4179,2599,0.035217487304040625,9058
BRG1679,2019,6109,7182,5606,-0.026617981690215377,18897
BRG1680,2013,713,1645,990,0.08273596176821983,3348
BRG1680,2014,845,2190,1117,0.06551059730250482,4152
BRG1680,2015,653,2003,1211,0.1442979053529868,3867
BRG1680,2016,895,2515,1364,0.09824046920821114,4774
BRG1680,2017,1110,2264,1254,0.03111495246326707,4628
BRG1680,2018,3305,4979,2676,-0.05739051094890511,10960
BRG1680,2019,9131,9151,6519,-0.10531833393814766,24801
BRG1681,2013,203,1281,1053,0.33504138746551043,2537
BRG1681,2014,339,1623,933,0.20518134715025907,2895
BRG1681,2015,188,1299,939,0.30956306677658696,2426
BRG1681,2016,264,1660,971,0.24421416234887738,2895
BRG1681,2017,337,1442,805,0.18111455108359134,2584
BRG1681,2018,973,2183,1386,0.09092910612065169,4542
BRG1681,2019,2450,3402,2787,0.039009144576918627,8639
BRG1682,2013,10,84,40,0.22388059701492538,134
BRG1682,2014,13,53,26,0.14130434782608695,92
BRG1682,2015,13,49,50,0.33035714285714285,112
BRG1682,2016,10,26,28,0.28125,64
BRG1682,2017,8,47,36,0.3076923076923077,91
BRG1682,2018,19,42,26,0.08045977011494253,87
BRG1682,2019,38,81,63,0.13736263736263737,182
BRG1683,2013,18,114,46,0.15730337078651685,178
BRG1683,2014,22,48,21,-0.01098901098901099,91
BRG1683,2015,19,64,34,0.1282051282051282,117
BRG1683,2016,30,68,36,0.04477611940298507,134
BRG1683,2017,97,139,45,-0.18505338078291814,281
BRG1683,2018,178,318,119,-0.0959349593495935,615
BRG1683,2019,250,303,145,-0.1504297994269341,698
BRG1684,NA,NA,NA,NA,NA,NA
BRG1685,2013,2163,3953,2124,-0.004733009708737864,8240
BRG1685,2014,2300,4314,2181,-0.013530415008527573,8795
BRG1685,2015,1675,4186,2050,0.04740235115661737,7911
BRG1685,2016,2623,5702,2366,-0.024038911233748014,10691
BRG1685,2017,2782,5523,2512,-0.024960709993528705,10817
BRG1685,2018,4617,7860,3911,-0.04308030266048328,16388
BRG1685,2019,12026,12029,8815,-0.09768786127167631,32870
BRG1686,2013,8,76,50,0.31343283582089554,134
BRG1686,2014,12,88,51,0.2582781456953642,151
BRG1686,2015,21,116,51,0.1595744680851064,188
BRG1686,2016,57,469,189,0.18461538461538463,715
BRG1686,2017,47,175,82,0.11513157894736842,304
BRG1686,2018,116,358,211,0.1386861313868613,685
BRG1686,2019,426,623,337,-0.06421356421356421,1386
BRG1687,2013,27,130,81,0.226890756302521,238
BRG1687,2014,51,362,211,0.2564102564102564,624
BRG1687,2015,39,298,168,0.25544554455445545,505
BRG1687,2016,48,279,177,0.25595238095238093,504
BRG1687,2017,45,178,120,0.21865889212827988,343
BRG1687,2018,186,356,271,0.1045510455104551,813
BRG1687,2019,575,619,447,-0.07800121876904327,1641
BRG1688,2013,434,1004,530,0.04878048780487805,1968
BRG1688,2014,530,1090,469,-0.02920057443752992,2089
BRG1688,2015,334,864,478,0.08591885441527446,1676
BRG1688,2016,569,1301,569,0,2439
BRG1688,2017,532,1617,811,0.09425675675675675,2960
BRG1688,2018,1267,2360,1204,-0.013040778306768785,4831
BRG1688,2019,3916,4033,2967,-0.0869366068156834,10916
BRG1689,2013,3991,8261,5147,0.06644060003448474,17399
BRG1689,2014,3722,7724,4953,0.07506555277760839,16399
BRG1689,2015,2346,6590,4708,0.173116388155966,13644
BRG1689,2016,3953,10210,5442,0.07595001275184902,19605
BRG1689,2017,4595,10219,5878,0.06200463947419293,20692
BRG1689,2018,16385,26097,15213,-0.020313718693127654,57695
BRG1689,2019,30436,32021,29077,-0.014846942119868027,91534
BRG1690,2013,50,361,259,0.3119402985074627,670
BRG1690,2014,111,665,415,0.25524769101595296,1191
