date,LocationCode,negative,neutral,positive,year,sentiment,Longitude_xmin,tweets
2013-01-02T00:00:00Z,BRG1665,0,1,0,2013,0,-73.98505,1
2013-01-03T00:00:00Z,BRG1665,0,0,2,2013,1,-73.98505,2
2013-01-04T00:00:00Z,BRG1665,0,1,2,2013,0.6666666666666666,-73.98505,3
2013-01-05T00:00:00Z,BRG1665,0,1,1,2013,0.3095238095238095,-73.98505,2
2013-01-07T00:00:00Z,BRG1665,0,1,0,2013,0.35714285714285715,-73.98505,1
2013-01-10T00:00:00Z,BRG1665,0,1,0,2013,0.14285714285714285,-73.98505,1
2013-01-14T00:00:00Z,BRG1665,0,1,0,2013,-0.09523809523809525,-73.98505,1
2013-01-16T00:00:00Z,BRG1665,0,2,1,2013,-0.16666666666666669,-73.98505,3
2013-01-19T00:00:00Z,BRG1665,1,1,0,2013,-0.2380952380952381,-73.98505,2
2013-01-20T00:00:00Z,BRG1665,1,0,0,2013,-0.38095238095238093,-73.98505,1
2013-01-21T00:00:00Z,BRG1665,0,1,0,2013,-0.38095238095238093,-73.98505,1
2013-01-23T00:00:00Z,BRG1665,1,1,0,2013,-0.42857142857142855,-73.98505,2
2013-01-24T00:00:00Z,BRG1665,1,0,0,2013,-0.21428571428571427,-73.98505,1
2013-01-25T00:00:00Z,BRG1665,1,0,1,2013,-0.07142857142857142,-73.98505,2
2013-01-26T00:00:00Z,BRG1665,0,1,0,2013,0,-73.98505,1
2013-01-28T00:00:00Z,BRG1665,0,0,1,2013,0.14285714285714285,-73.98505,1
2013-01-29T00:00:00Z,BRG1665,0,6,0,2013,0.35714285714285715,-73.98505,6
2013-01-30T00:00:00Z,BRG1665,0,1,1,2013,0.35714285714285715,-73.98505,2
2013-01-31T00:00:00Z,BRG1665,0,1,1,2013,0.39285714285714285,-73.98505,2
2013-02-01T00:00:00Z,BRG1665,0,3,3,2013,0.32142857142857145,-73.98505,6
2013-03-26T00:00:00Z,BRG1665,0,1,0,2013,0.2357142857142857,-73.98505,1
2013-04-04T00:00:00Z,BRG1665,0,3,1,2013,0.11666666666666667,-73.98505,4
2013-04-05T00:00:00Z,BRG1665,0,1,1,2013,0.045238095238095244,-73.98505,2
2013-04-06T00:00:00Z,BRG1665,3,2,0,2013,0.045238095238095244,-73.98505,5
2013-04-10T00:00:00Z,BRG1665,1,2,0,2013,0.045238095238095244,-73.98505,3
2013-04-11T00:00:00Z,BRG1665,0,1,0,2013,0.00952380952380953,-73.98505,1
2013-04-12T00:00:00Z,BRG1665,0,1,1,2013,-0.0619047619047619,-73.98505,2
2013-04-14T00:00:00Z,BRG1665,0,5,0,2013,0.02380952380952381,-73.98505,5
2013-04-15T00:00:00Z,BRG1665,0,2,0,2013,0.21428571428571427,-73.98505,2
2013-04-16T00:00:00Z,BRG1665,1,4,1,2013,0.21428571428571427,-73.98505,6
2013-04-17T00:00:00Z,BRG1665,0,2,0,2013,0.14285714285714285,-73.98505,2
2013-04-18T00:00:00Z,BRG1665,0,0,1,2013,0.14285714285714285,-73.98505,1
2013-04-19T00:00:00Z,BRG1665,0,5,0,2013,0.21428571428571427,-73.98505,5
2013-04-20T00:00:00Z,BRG1665,0,7,0,2013,0.25,-73.98505,7
2013-04-22T00:00:00Z,BRG1665,0,5,0,2013,0.2857142857142857,-73.98505,5
2013-04-24T00:00:00Z,BRG1665,0,1,1,2013,0.14285714285714285,-73.98505,2
2013-04-25T00:00:00Z,BRG1665,1,4,3,2013,0.14285714285714285,-73.98505,8
2013-04-26T00:00:00Z,BRG1665,0,3,1,2013,0.14285714285714285,-73.98505,4
2013-04-28T00:00:00Z,BRG1665,0,4,0,2013,0.14285714285714285,-73.98505,4
2013-04-29T00:00:00Z,BRG1665,1,6,1,2013,0.07142857142857142,-73.98505,8
2013-04-30T00:00:00Z,BRG1665,0,1,0,2013,0.10714285714285714,-73.98505,1
2013-05-01T00:00:00Z,BRG1665,0,3,0,2013,0.14285714285714285,-73.98505,3
2013-05-02T00:00:00Z,BRG1665,0,9,0,2013,0.14285714285714285,-73.98505,9
2013-05-03T00:00:00Z,BRG1665,0,1,1,2013,0.14285714285714285,-73.98505,2
2013-05-05T00:00:00Z,BRG1665,0,1,1,2013,0.2857142857142857,-73.98505,2
2013-05-06T00:00:00Z,BRG1665,0,3,0,2013,0.33333333333333337,-73.98505,3
2013-05-07T00:00:00Z,BRG1665,0,1,0,2013,0.33333333333333337,-73.98505,1
2013-05-08T00:00:00Z,BRG1665,0,0,1,2013,0.11904761904761904,-73.98505,1
2013-05-09T00:00:00Z,BRG1665,0,2,1,2013,0.19047619047619047,-73.98505,3
2013-05-10T00:00:00Z,BRG1665,0,8,0,2013,0.19047619047619047,-73.98505,8
2013-05-12T00:00:00Z,BRG1665,1,0,0,2013,0.16666666666666669,-73.98505,1
2013-05-14T00:00:00Z,BRG1665,0,0,4,2013,0.16666666666666669,-73.98505,4
2013-05-16T00:00:00Z,BRG1665,0,1,0,2013,0.11904761904761905,-73.98505,1
2013-05-17T00:00:00Z,BRG1665,1,5,0,2013,0.11904761904761905,-73.98505,6
2013-05-20T00:00:00Z,BRG1665,0,0,1,2013,0.19047619047619047,-73.98505,1
2013-05-22T00:00:00Z,BRG1665,0,1,0,2013,-0.023809523809523808,-73.98505,1
2013-05-23T00:00:00Z,BRG1665,0,4,0,2013,-0.1380952380952381,-73.98505,4
2013-05-24T00:00:00Z,BRG1665,1,1,0,2013,-0.2571428571428572,-73.98505,2
2013-05-25T00:00:00Z,BRG1665,1,1,0,2013,-0.2928571428571428,-73.98505,2
2013-05-27T00:00:00Z,BRG1665,4,1,0,2013,-0.22142857142857145,-73.98505,5
2013-05-29T00:00:00Z,BRG1665,1,0,0,2013,-0.15,-73.98505,1
2013-06-04T00:00:00Z,BRG1665,0,1,3,2013,0.007142857142857133,-73.98505,4
2013-06-05T00:00:00Z,BRG1665,0,2,2,2013,0.137012987012987,-73.98505,4
2013-06-06T00:00:00Z,BRG1665,0,1,1,2013,0.3941558441558442,-73.98505,2
2013-06-07T00:00:00Z,BRG1665,0,2,3,2013,0.60844155844155845,-73.98505,5
2013-06-08T00:00:00Z,BRG1665,0,13,9,2013,0.6441558441558441,-73.98505,22
2013-06-09T00:00:00Z,BRG1665,0,0,2,2013,0.5727272727272726,-73.98505,2
2013-06-10T00:00:00Z,BRG1665,0,1,1,2013,0.5012987012987014,-73.98505,2
2013-06-11T00:00:00Z,BRG1665,0,0,1,2013,0.27272727272727276,-73.98505,1
2013-06-12T00:00:00Z,BRG1665,0,1,0,2013,0.07142857142857142,-73.98505,1
2013-06-13T00:00:00Z,BRG1665,0,1,0,2013,0.07142857142857142,-73.98505,1
2013-06-18T00:00:00Z,BRG1665,1,0,0,2013,0.14285714285714285,-73.98505,1
2013-06-19T00:00:00Z,BRG1665,1,0,0,2013,0.09523809523809523,-73.98505,1
2013-06-20T00:00:00Z,BRG1665,0,0,2,2013,0.20238095238095236,-73.98505,2
2013-06-21T00:00:00Z,BRG1665,0,0,1,2013,0.34523809523809523,-73.98505,1
2013-06-24T00:00:00Z,BRG1665,0,1,2,2013,0.41666666666666663,-73.98505,3
2013-06-25T00:00:00Z,BRG1665,0,1,3,2013,0.7023809523809524,-73.98505,4
2013-06-26T00:00:00Z,BRG1665,0,0,3,2013,0.7023809523809524,-73.98505,3
2013-06-27T00:00:00Z,BRG1665,1,1,0,2013,0.5595238095238095,-73.98505,2
2013-06-29T00:00:00Z,BRG1665,0,0,1,2013,0.5595238095238095,-73.98505,1
2013-07-01T00:00:00Z,BRG1665,0,0,1,2013,0.5952380952380952,-73.98505,1
