"","LocationCode","year","negative","neutral","positive","sentiment","tweets"
"1","BRG1665",2013,36,369,1,-0.0862068965517241,406
"2","BRG1666",2013,50,1271,5,-0.0339366515837104,1326
"3","BRG1667",2013,37,663,4,-0.046875,704
"4","BRG1668",2013,222,1931,11,-0.0975046210720887,2164
"5","BRG1669",2013,439,5072,22,-0.0753659859027652,5533
"6","BRG1670",2013,211,3233,16,-0.0563583815028902,3460
"7","BRG1671",2013,196,2527,15,-0.0661066471877283,2738
"8","BRG1672",2013,185,1467,4,-0.109299516908213,1656
"9","BRG1673",2013,212,2283,10,-0.0806387225548902,2505
"10","BRG1674",2013,255,3042,17,-0.0718165359082679,3314
"11","BRG1675",2013,39,478,3,-0.0692307692307692,520
"12","BRG1676",2013,227,1945,14,-0.0974382433668801,2186
"13","BRG1677",2013,2724,20064,128,-0.113283295514051,22916
"14","BRG1678",2013,39,339,2,-0.0973684210526316,380
"15","BRG1679",2013,327,5099,22,-0.0559838472834068,5448
"16","BRG1680",2013,579,3495,26,-0.134878048780488,4100
"17","BRG1681",2013,117,2813,11,-0.0360421625297518,2941
"18","BRG1682",2013,3,146,0,-0.0201342281879195,149
"19","BRG1683",2013,83,377,1,-0.177874186550976,461
"20","BRG1685",2013,1750,7905,57,-0.174320428336079,9712
"21","BRG1686",2013,5,166,0,-0.0292397660818713,171
"22","BRG1687",2013,23,268,3,-0.0680272108843537,294
"23","BRG1688",2013,381,2034,11,-0.152514427040396,2426
"24","BRG1689",2013,3500,17749,112,-0.158606806797435,21361
"25","BRG1690",2013,16,738,4,-0.0158311345646438,758
"26","BRG1691",2013,14,192,0,-0.0679611650485437,206
