LocationCode,year,negative,neutral,positive,sentiment,tweets
BRG1665,2019,1081,1158,797,-0.09354413702239789,3036
BRG1666,2019,1212,1537,1216,0.001008827238335435,3965
BRG1667,2019,518,700,546,0.015873015873015872,1764
BRG1668,2019,4027,5093,4056,0.0022009714632665453,13176
BRG1669,2019,7044,7954,6447,-0.027838657029610633,21445
BRG1670,2019,3327,3751,3006,-0.03183260610868703,10084
BRG1671,2019,7573,8093,6223,-0.06167481383343232,21889
BRG1672,2019,5148,6338,3412,-0.1165257081487448,14898
BRG1673,2019,5486,5764,4237,-0.08064828565893975,15487
BRG1674,2019,6234,7378,6380,0.007302921168467387,19992
BRG1675,2019,1382,1539,1136,-0.0606359378851368,4057
BRG1676,2019,3661,3999,2728,-0.08981517135155949,10388
BRG1677,2019,53482,86220,43684,-0.05342828787366538,183386
BRG1678,2019,581,674,542,-0.021702838063439065,1797
BRG1679,2019,6109,7182,5606,-0.026617981690215377,18897
BRG1680,2019,9131,9151,6519,-0.10531833393814766,24801
BRG1681,2019,2450,3402,2787,0.039009144576918627,8639
BRG1682,2019,38,81,63,0.13736263736263737,182
BRG1683,2019,250,303,145,-0.1504297994269341,698
BRG1685,2019,12026,12029,8815,-0.09768786127167631,32870
BRG1686,2019,426,623,337,-0.06421356421356421,1386
BRG1687,2019,575,619,447,-0.07800121876904327,1641
BRG1688,2019,3916,4033,2967,-0.0869366068156834,10916
BRG1689,2019,30436,32021,29077,-0.014846942119868027,91534
BRG1690,2019,735,1037,837,0.039095438865465695,2609
BRG1691,2019,226,334,263,0.04495747266099635,823
