LocationCode,Negative,Neutral,Positive,sentiment,tweets
BRG1665,1704,2866,1760,0.008846761453396525,6330
BRG1666,2184,6305,4276,0.16388562475518997,12765
BRG1667,1085,3071,2224,0.17852664576802507,6380
BRG1668,6738,13050,9279,0.08741872226235937,29067
BRG1669,14135,29975,19266,0.08096124715980813,63376
BRG1670,6395,14911,10195,0.12063109107647377,31501
BRG1671,12693,19539,15066,0.05017125459850311,47298
BRG1672,10507,19374,8575,-0.050239234449760764,38456
BRG1673,9917,20219,11526,0.03862032547645336,41662
BRG1674,10749,19113,14755,0.08978640428536208,44617
BRG1675,2256,3726,2408,0.018116805721096543,8390
BRG1676,6805,12064,6987,0.007038985148514852,25856
BRG1677,110282,238554,111699,0.003076856264996146,460535
BRG1678,1094,1980,1389,0.06609903652251849,4463
BRG1679,11450,23918,16862,0.10361860999425618,52230
BRG1680,16652,24747,15131,-0.026906067574739078,56530
BRG1681,4754,12890,8874,0.15536616637755488,26518
BRG1682,111,382,269,0.2073490813648294,762
BRG1683,614,1054,446,-0.07947019867549669,2114
BRG1684,NA,NA,NA,NA,NA
BRG1685,28186,43567,23959,-0.04416374122367101,95712
BRG1686,687,1905,971,0.07970811114229581,3563
BRG1687,971,2222,1475,0.10796915167095116,4668
BRG1688,7582,12269,7028,-0.02061088582164515,26879
BRG1689,65428,101122,70418,0.021057695553830053,236968
BRG1690,1420,3971,2860,0.1745243000848382,8251
BRG1691,440,1432,879,0.15957833515085423,2751
