"Date","BRG1665","BRG1666","BRG1667","BRG1668","BRG1669","BRG1670","BRG1671","BRG1672","BRG1673","BRG1674","BRG1675","BRG1676","BRG1677","BRG1678","BRG1679","BRG1680","BRG1681","BRG1682","BRG1683","BRG1684","BRG1685","BRG1686","BRG1687","BRG1688","BRG1689","BRG1690","BRG1691","Total","year","year_month"
2013-01-01,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-01-02,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-01-03,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-01-04,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-01-05,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-01-06,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-01-07,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-01-08,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-01-09,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-01-10,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
