"Date","BRG1665","BRG1666","BRG1667","BRG1668","BRG1669","BRG1670","BRG1671","BRG1672","BRG1673","BRG1674","BRG1675","BRG1676","BRG1677","BRG1678","BRG1679","BRG1680","BRG1681","BRG1682","BRG1683","BRG1684","BRG1685","BRG1686","BRG1687","BRG1688","BRG1689","BRG1690","BRG1691","Total","year","year_month"
2013-01-01,140.95,1046.41,58.17,2285.93,332.89,2668.99,464.16,120.35,436.85,198.9,166.81,167.71,443.71,580.68,403.02,167.83,88.31,185.47,185.12,14.88,166.32,77.46,15.68,534.46,2770.14,77.31,140.55,418.8,2013,"2013-01"
2013-02-01,119.9,893.7,44.13,2425.72,359.51,2117.71,370.2,101.21,357.74,192.38,207.25,130.31,402.39,600.25,361.04,143.54,97.14,192.19,154.02,13.95,160.96,62.21,18.05,460.73,2927.28,72.37,116.34,400.82,2013,"2013-02"
2013-03-01,138.83,927.53,46.36,2682.56,388.2,2142.85,373.44,98.61,371.14,193.94,208.75,131.31,412.37,612,360.17,136.32,98.08,176.08,164.87,14.35,152.06,56.73,14.99,432.97,2282.94,73.91,117.36,385.9,2013,"2013-03"
2013-04-01,193.65,1153.78,62.88,3048.88,437.53,2982.24,513.67,143.24,483.39,258.06,224.76,194.81,496.11,708.22,405.26,169.53,101.82,184.01,177.28,17.87,196.31,83.75,12.29,640.77,3015.08,83.35,165.76,474.78,2013,"2013-04"
2013-05-01,149.78,865.94,43.88,2122.4,395,2421.59,413.01,111.81,387.65,216.75,237.53,145.2,422.06,693.49,364.29,142.7,113.1,151.5,178.97,14.97,150.47,88.46,16.7,457.58,2644.23,79.5,101.91,413.76,2013,"2013-05"
2013-06-01,282.2,1505.67,99,3857.83,641.82,4812.68,914.45,198.99,857.56,368.45,346,315.22,1093.2,1043.95,522.89,243.45,171.61,304.01,325.49,24.44,296.54,115.72,18.51,926.92,5364.64,128.02,221.42,778.03,2013,"2013-06"
2013-07-01,116.84,1074.28,67.82,2316.16,456.89,2627.04,1090.6,70.64,361.14,210.8,308.58,135.49,431.4,626.35,409.46,131.99,114.28,181.84,171.71,16.72,139.57,92.42,15.1,365.98,2558.24,86.06,89.95,423.36,2013,"2013-07"
2013-08-01,282.89,1842.48,135.62,3457.01,599.18,4149.4,983.33,124.73,684.78,648.34,366.51,232,707.58,1220.08,637.45,209.46,161.67,387.68,332.1,27.37,171.06,93.62,8.28,453.09,3009.21,120.36,153.09,659.21,2013,"2013-08"
2013-09-01,155.3,1487.72,103.88,4916.89,1124.73,4164.98,957.35,178.37,699.18,475.07,447.39,302.85,773.45,1296.85,817.81,237.69,202.93,339.93,445.46,32.39,322.45,119.53,22.26,786.92,4996.56,174.23,218.5,830.47,2013,"2013-09"
2013-10-01,93.48,499.99,36.3,2337,359.52,2012.48,320.73,34.86,226.7,162.55,188.45,121.28,344.15,475.41,309.99,133.34,64.77,137.59,113.17,13.5,134.76,37.37,9.03,284.5,2114.55,75.16,49.48,318.67,2013,"2013-10"
2013-11-01,98.88,433.87,40.61,2193.84,311.63,2143.39,269.03,32.93,274.95,139.31,170.78,130.73,324,394.76,303.8,131.58,45.82,108.65,101.64,12.14,123.56,27.44,3.6,238.62,1773.72,65.31,54.17,284.12,2013,"2013-11"
2013-12-01,114.53,560.68,38.56,1957.88,272.59,1742.57,286.65,71.34,296.56,137.39,140.58,99.34,281.63,333.59,251.88,100.8,55.47,102.45,125.43,10.64,96.12,34.61,8.28,220.89,1489.41,56.89,74.26,261.98,2013,"2013-12"
2014-01-01,110.29,1030.57,53.28,2235.33,325.84,2797.43,433.58,108.66,460.5,171.98,162.42,205.06,414.06,522.34,386.49,152.66,80.32,175.94,185.46,14.83,167.17,62.87,12.91,476.53,2633.34,69.54,148.18,400.05,2014,"2014-01"
2014-02-01,113.17,974.84,50.48,2608.05,361.5,3085.91,345.32,97.3,380.3,172.03,190.2,162,361.37,591.36,370.27,130.97,87.34,160.28,178.32,13.93,145.44,60.01,16.25,452.43,2228.98,56.61,115,378.24,2014,"2014-02"
2014-03-01,84.45,1025.41,50.28,2287.83,376.62,2147.62,391.37,103.21,400.03,198.81,189.45,171.5,352.68,526.78,385.12,133.56,81.06,169.38,168.42,16.28,149.58,60.65,15.99,408.49,2272.93,60.28,119.2,373.73,2014,"2014-03"
2014-04-01,150.18,966.08,58.34,3013.47,465.61,2543.04,486.28,139.38,443.45,214.6,231.89,220.06,446.78,578.25,358.63,166.6,98.79,151.94,182.34,14.83,180.01,65.26,16.22,609.13,2838.89,75.97,163.02,444.59,2014,"2014-04"
2014-05-01,138.59,1062.95,53.18,2898.51,453.16,2540.99,540.22,148.2,503.99,209.52,272.35,210.81,466.59,560.02,326.91,166.37,106.41,143.52,226.5,12.8,173.75,74.09,15.21,584.96,2934.02,86.53,120.72,458.5,2014,"2014-05"
2014-06-01,115.9,823.86,35.45,2066.5,320.43,2214.3,318.71,89.19,318.39,162.27,206.55,165.85,343.24,424.3,268.12,119.81,87.19,125.85,169.52,11.36,128.86,52.39,15.3,388.79,2093.92,71.43,90.76,336.72,2014,"2014-06"
2014-07-01,94.11,1031.97,44.05,2271.27,347.32,3318.6,443.13,116.25,406.43,170.54,209.66,200.52,416.72,425.99,359.71,147.01,105.71,148.63,191.08,14.83,154.8,60.29,12.18,530.7,2478.83,72.52,115.72,401.85,2014,"2014-07"
2014-08-01,120.05,872,47.86,2206.5,368.83,2301.52,362.39,103.48,398.86,170.53,212.53,188.52,377.54,493.77,356.93,135.74,105.53,145.93,182.65,14.38,150.1,56.36,12.6,495.48,2234.17,69.29,119.98,382.67,2014,"2014-08"
2014-09-01,93.6,971.36,51.16,2738.77,401.1,2629.13,397.19,112.28,411.79,210.42,233.69,195.31,406.3,516.44,361.53,134.41,104.1,151.73,206.07,16.06,159.54,67.21,14.22,467.22,2562.01,77.5,114.35,411.8,2014,"2014-09"
2014-10-01,73.15,832.91,42.57,2248.41,352.88,2205.91,365.57,101.51,372.48,200.56,190.05,162.36,365.38,444.99,320.39,136.08,97.65,122.35,178.37,13.29,147.17,61.89,8.93,469.27,2278.7,62.83,92.58,368.01,2014,"2014-10"
2014-11-01,127.99,1350.84,61.62,3022.72,642.4,5017.9,660.64,213.14,713.27,302.1,340.76,408.3,838.9,596.59,480.09,288.3,159.03,231.43,316.29,24.96,363.4,115.04,13.7,1038.3,4054.45,136.01,181.46,690.47,2014,"2014-11"
2014-12-01,71.73,680.19,42.96,2214.97,371.99,1930.47,318.68,83.52,298.61,153.37,209.61,153.5,339.4,365.11,269.09,119.23,102.08,96.26,181.69,12.91,135.43,56.13,16.33,340.56,2042.21,67.91,58.58,336.7,2014,"2014-12"
2015-01-01,77.07,812.53,57.75,2111.16,314.76,2637.57,384.87,101.54,386.07,178.09,181.6,200.87,384.68,453.9,297.45,139.66,89.32,144.42,172.91,13.81,140.65,59.09,10.49,459.36,2312.08,68.2,107.86,366.86,2015,"2015-01"
