Date,BRG1665,BRG1666,BRG1667,BRG1668,BRG1669,BRG1670,BRG1671,BRG1672,BRG1673,BRG1674,BRG1675,BRG1676,BRG1677,BRG1678,BRG1679,BRG1680,BRG1681,BRG1682,BRG1683,BRG1684,BRG1685,BRG1686,BRG1687,BRG1688,BRG1689,BRG1690,BRG1691, Total
2013/Jan,1564,6155,10570,1776,19878,16748,6427,7060,11672,13345,28501,6684,4884,13988,6473,12973,4882,18646,22744,4544,3124,2171,14618,13963,3779,88755,3836,349760
2013/Feb,1343,5701,14380,1449,23220,14821,5061,6091,11092,13786,29278,5882,5796,14303,5816,15011,5206,17680,21203,4427,2846,2066,14984,13776,3745,113244,3388,375595
2013/Mar,1535,7034,21364,1509,27639,16864,5673,6443,12555,14408,54655,6469,6314,14969,6750,16266,5602,18236,25266,5906,2894,1861,15004,12789,4186,92246,3579,408016
2013/Apr,2062,8575,14611,1772,31275,20676,6116,8012,14140,18627,56675,8069,6354,17352,7684,18886,4878,21795,27978,6992,3019,1687,20375,15709,4445,109164,4369,461297
2013/May,1823,6916,8450,1635,29362,18928,4753,6923,10022,13432,31190,5622,6309,15679,7021,26507,3860,16541,25787,5616,3383,2831,13651,12232,4416,95229,2929,381047
2013/Jun,2337,9103,14071,1947,46887,24330,4583,7727,13393,16403,38025,5031,7591,18482,11856,34995,5883,20300,34885,6887,3112,2189,19374,15030,4922,106606,3072,479021
2013/Jul,1380,7795,12282,2014,36377,16944,9978,7046,11318,12240,26108,4717,6315,13353,14188,27987,4793,16855,38211,5606,3753,2077,12341,11742,4564,97233,3278,410495
2013/Aug,2965,12218,15905,2947,41393,24411,6760,8055,16205,18973,36644,6243,8730,21142,13797,36120,8070,21167,42691,7643,5031,1725,13600,12281,5731,110679,4402,505528
2013/Sep,1808,10245,17815,2072,58568,21608,8301,9910,15429,19241,39012,7660,9745,20234,14265,36103,7386,22240,42793,7781,4713,2314,21135,15130,6405,123052,4531,549496
2013/Oct,1289,5936,10971,1437,27294,15379,5232,5761,10617,13119,25545,4889,6062,13884,8301,15761,5073,17058,23541,4453,2594,1596,11660,10327,4401,94271,3228,349679
2013/Nov,1470,5259,10995,1376,24823,15275,5127,6469,10297,13197,24328,5502,5547,12294,7215,15853,4710,15351,21802,4389,2662,649,10502,10189,4190,86971,2929,329371
2013/Dec,1451,4507,10282,1248,22871,13353,4192,4825,7829,11861,20483,3532,4513,11188,6404,60604,3859,13145,19444,3773,2417,1127,8517,7591,4079,72137,2191,327423
2014/Jan,1346,7258,12879,1682,23623,31746,5771,7628,12046,13887,29944,6865,5041,15079,6314,34546,5228,18934,25720,4628,3417,1983,15119,13825,4808,99011,3334,411662
2014/Feb,1475,7533,16583,1529,27504,89128,6025,6839,9859,12944,28560,6104,5888,16332,6238,24335,5344,17633,26744,4379,3353,2661,13982,14323,4373,101843,2993,464504
2014/Mar,1023,7693,13944,1334,31632,20949,6287,5894,9845,13071,25795,6437,7058,12968,5751,17002,4702,17125,23718,3869,3080,2218,12742,12175,4276,105784,3158,379530
2014/Apr,1580,6358,15100,1577,35531,18389,5879,6966,10707,11896,27437,6970,7786,13665,6461,19499,5610,18337,24460,5728,2952,2351,15259,12782,3918,114061,3524,404783
2014/May,1542,10106,11825,1482,32512,17663,6092,7971,11610,11484,27629,5382,8957,13083,6284,25792,4801,16703,39096,5932,3336,1774,14203,12527,5254,116274,2949,422263
2014/Jun,1571,5904,9995,1286,26046,38647,5342,6097,8876,10897,28489,5715,6490,11843,7373,17748,4500,15288,31788,3577,2755,2189,11801,10817,4122,97049,2664,378869
2014/Jul,1225,6728,10257,1428,24878,45243,6785,7147,11178,11768,31193,6518,6265,11627,7066,18841,4786,18857,32305,4230,3080,1927,13758,17653,3991,98956,3140,410830
2014/Aug,1310,5381,13560,1628,28616,47836,6000,6830,10898,12204,28365,6896,6421,12957,6693,16803,4689,17426,27504,3762,2997,2405,13872,17952,3690,95252,3448,405395
2014/Sep,1130,5191,12031,2242,27122,41104,5839,6509,10109,12982,29921,6395,6945,13044,6988,15943,4511,17219,29073,3690,3189,2356,13313,14168,3836,100731,3473,399054
2014/Oct,880,5358,10159,1771,22917,28565,5370,5177,6843,10890,26280,5116,5668,11357,4296,16103,3970,16676,25387,2586,2533,1673,9361,9170,2391,95147,2738,338382
2014/Nov,4213,9974,15309,2068,48808,72010,6572,6096,29344,19650,37854,8921,9163,25831,20998,37582,8069,21529,17866,8152,4567,1615,11402,9784,5253,87911,2905,533446
2014/Dec,7071,15672,47601,7234,88601,80452,9239,15945,45843,70102,61767,14848,19311,78505,37824,28152,8585,49696,96779,24419,15537,5590,46214,29177,14745,179327,9752,1107988
2015/Jan,1124,5549,8357,1634,18169,54914,5245,5696,10162,9237,26812,6085,4736,10899,5711,14735,3652,18108,22028,3159,2670,1420,11510,13100,3565,87880,2709,358866
2015/Feb,1203,5171,10896,1271,19224,59245,5539,5414,8271,9708,24962,5592,4883,9710,5939,13688,3355,17305,22572,3562,2499,7675,10886,14075,3769,83020,2576,362010
2015/Mar,1629,5494,13082,1613,22476,62322,6572,6369,10975,11947,30194,6376,5679,12084,6080,15777,4025,20049,29846,4574,3013,5031,14140,13225,4172,94367,3529,414640
2015/Apr,1478,5093,11003,1350,20821,40154,5338,5653,8951,10424,27201,5225,5555,10465,5548,14279,3961,17768,24002,3719,2628,2192,12582,11900,3677,88849,2973,352789
2015/May,1735,6580,13093,1425,20263,25740,5363,7116,9927,11235,27597,6399,6308,10069,5604,14043,3762,17929,26057,4572,3021,1806,12343,13608,3911,99087,3204,361797
2015/Jun,1157,5084,10622,1098,17176,21684,4779,7950,9463,9599,26856,4381,5883,9653,5449,12526,3584,16792,24666,3793,2634,2135,11292,11358,3198,87966,2672,323450
2015/Jul,981,6184,8713,1146,19483,16823,4791,7555,9600,10104,28414,4904,6151,8773,6788,14221,3817,18440,44426,3909,2829,1980,14122,13457,3718,88368,2723,352420
2015/Aug,4035,9424,15756,2805,39352,26262,6319,10304,18892,21564,43482,9373,8893,20396,10448,28712,5911,25124,57228,9161,5365,2832,24651,18038,6918,122907,5136,559288
2015/Sep,1121,4660,10057,1504,21112,14670,1338,5451,9543,9527,22015,4827,5200,8563,5574,13893,3650,13826,24617,4522,2820,2014,10097,9699,3576,81381,2597,297854
2015/Oct,1041,5193,9502,1447,18163,15007,1115,5219,9234,8954,20844,4420,4873,8113,5067,13278,3782,13945,21991,3151,2490,1736,9938,9026,3244,88474,2481,291728
2015/Nov,1142,5445,8544,1261,18219,16623,818,4916,8637,9120,24057,4854,5320,8361,5946,14115,4535,14142,25528,3571,2816,1945,11101,9991,3258,76986,2518,293769
2015/Dec,880,4206,6617,1125,13912,14374,694,4476,7986,7146,20426,3333,4370,5682,5125,12406,2515,12314,22158,3162,2230,2039,11094,7285,2648,67944,1691,247838
2016/Jan,1461,6264,11069,1474,19899,21616,7281,6323,11155,10948,29385,6186,6440,11967,6356,16850,4181,20530,30107,3832,3579,2568,12754,14480,4320,106169,3004,380198
2016/Feb,1801,5610,9671,1690,21166,25671,10713,6201,11638,9826,29346,5756,5936,11664,6502,15113,4416,18882,26637,4029,2919,3234,12701,14510,3892,91122,2707,363353
2016/Mar,903,6631,8750,1871,22232,24344,13703,7353,13251,10851,29941,5983,6190,6356,6390,17202,13666,19323,29913,4758,3135,3580,15887,14821,4717,104383,3257,399391
2016/Apr,1102,6451,10594,1529,21502,19238,9656,7260,12668,11139,31303,6186,7206,9769,7025,18319,7149,18583,33324,4153,4056,2771,15893,16312,5388,106746,3209,398531
2016/May,1293,6263,9698,1837,20975,18997,11461,7565,14293,9812,31125,6211,6188,10128,6432,19457,4883,17674,28021,4147,3407,2942,24052,15667,5165,132460,3491,423644
2016/Jun,1061,6654,9431,1684,20452,18295,14509,8130,14898,9747,31181,6250,6912,11330,5888,18729,4748,19381,37581,4153,5508,2697,27152,15630,4115,108233,3573,417922
