"Date","BRG1665","BRG1666","BRG1667","BRG1668","BRG1669","BRG1670","BRG1671","BRG1672","BRG1673","BRG1674","BRG1675","BRG1676","BRG1677","BRG1678","BRG1679","BRG1680","BRG1681","BRG1682","BRG1683","BRG1684","BRG1685","BRG1686","BRG1687","BRG1688","BRG1689","BRG1690","BRG1691","Total","year","year_month"
2013-01-01,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-02,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-03,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-04,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-05,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-06,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-07,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-08,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-09,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-10,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-11,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-12,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-01-13,89.45,779.01,272.86,357.39,246.2,2230.35,429.36,103.05,365.35,150.91,836.17,169.48,52.64,421.11,291.63,85.76,23.55,479.94,138.17,10.32,28.19,32.27,130.43,533.01,117.2,1360.6,134.48,344.98,2013,"2013-01"
2013-01-14,89.45,779.01,272.86,357.39,246.2,2230.35,429.36,103.05,365.35,150.91,836.17,169.48,52.64,421.11,291.63,85.76,23.55,479.94,138.17,10.32,28.19,32.27,130.43,533.01,117.2,1360.6,134.48,344.98,2013,"2013-01"
