"Date","BRG1665","BRG1666","BRG1667","BRG1668","BRG1669","BRG1670","BRG1671","BRG1672","BRG1673","BRG1674","BRG1675","BRG1676","BRG1677","BRG1678","BRG1679","BRG1680","BRG1681","BRG1682","BRG1683","BRG1684","BRG1685","BRG1686","BRG1687","BRG1688","BRG1689","BRG1690","BRG1691","Total","year","year_month"
2013-01-01,90.5,792.7,277.58,363.88,249.42,2278.65,434.8,103.91,366.56,152.02,844.73,170.75,53.04,423.76,294.81,86.23,23.71,485.65,138.94,10.41,28.41,32.72,130.94,539.68,118.76,1379.46,137.5,347.96,2013,"2013-01"
2013-02-01,75.95,709.51,365.13,286.55,284.03,1933.14,334.03,88.22,346.19,154.82,850.57,148.08,62.02,428.11,259.3,98.73,24.95,449.88,128.11,9.97,25.49,30.3,133.22,519.61,114.68,1713.05,116.23,367.42,2013,"2013-02"
2013-03-01,85,847.86,525.74,288.73,330.35,2114.02,365.95,92.04,390,159.73,1558.45,160.7,66.65,443.42,295,106.01,26.53,454.04,151.12,13.1,25.56,26.58,132.51,471.37,125.16,1360.81,117.75,392.96,2013,"2013-03"
2013-04-01,117.93,1085.3,377.18,356.59,387.36,2753.45,408.58,116.95,442.61,210.65,1662.75,204.6,68.49,522.38,346.19,124.85,23.53,561,169.96,15.88,27.24,25.08,181.8,599.66,137.86,1673.47,153.17,455,2013,"2013-04"
2013-05-01,102,846.84,211.16,317.95,354.93,2419.55,310.07,99.55,312,149.85,897.55,140.57,67.04,466.78,309.87,173.51,18.38,416.26,155.01,12.55,30.09,40.97,120.95,456.01,133.59,1422.21,98.38,369.8,2013,"2013-05"
2013-06-01,135.23,1172.37,369.52,398.92,588.32,3310.22,310.05,113.73,420.61,186.85,1127.01,128.52,82.43,559.9,539.97,232.62,28.57,528.73,213.11,15.77,28.3,33,173.54,580.92,154.68,1656.9,110.12,476.56,2013,"2013-06"
2013-07-01,78.05,970.11,311.86,398.29,444.97,2210.05,658.56,102.05,353.24,137.46,758.47,118.75,67.57,399.68,632.56,184.08,22.97,428.89,230.88,12.63,33.62,30.46,109.72,442.89,139.76,1470.85,112.46,401.56,2013,"2013-07"
2013-08-01,168.7,1405.56,389.77,511.13,486.2,2942.88,434.66,114.5,496.4,209.05,1053.29,156.21,91.93,636.27,605.58,243.85,38.35,532.85,248.78,16.78,44.33,24.38,120.04,446.9,166.5,1599.14,147.98,484.93,2013,"2013-08"
2013-09-01,102.25,1275.03,452.35,409.76,716.42,2818.39,547.88,143.53,481.55,216.08,1133.35,192.84,104.28,605.64,636,237.46,35.39,565.92,258.57,17.53,42.22,33.93,187.9,570.68,196.14,1861.41,155.45,537.53,2013,"2013-09"
2013-10-01,71.38,715.51,269.98,274.95,326.22,1927.86,337.51,82.3,329.8,145.44,728.4,121.45,63.99,411.28,362.79,102.71,24.02,424.71,140.8,9.87,22.91,22.8,102.98,380.63,131.59,1390.68,106.2,336.78,2013,"2013-10"
2013-11-01,84.07,665.61,283.83,276.9,307.45,2034.19,342.51,94.43,322.31,149.24,713.74,139.51,59.79,370.11,325.06,104.8,22.72,395.13,132.44,9.97,24.02,9.65,93.71,388.94,129.95,1333.25,102.69,324.87,2013,"2013-11"
